,BRAF,NRAS,TP53,CDKN2A,C15orf23,STK19,OXA1L,ANKRD20A4,RPS27,PTEN,RAC1,TMEM216,ACSM2B,BAGE,LUZP2,SLC38A4,IDH1,PRB2,LCE1B,MRPS31,NOTCH2NL,C8A,HIST1H2AA,NRK,GRXCR1,RUNX1T1,TAF1A,RQCD1,PRB1,NAP1L2,MUM1L1,USP17L2,PRIM2,CDH9,PPP6C,VEGFC,RBM11,FUT9,HBD,NMS,TRAT1,TRIM58,MPP7,CTAGE6P,OR8D4,EMG1,ZNF99,SERPINB3,SPOCK3,HHLA2,CDK4,KLHL4,FRG2B,ELF5,ZNF98,GML,PDE1A,AREG,DDX3X,DMC1,PRB4,DEFB119,OR51S1,SNAP91,AGXT2,RERG,SPAG16,SPRR2G,STARD6,TMCO5A,CRB1,PARM1,DEFB118,LIN7A,ZMAT4,DEFB114,GRXCR2,VSNL1,UGT2A1,PSG4,ACD,POTEG,GK2,ZNF679,FABP2,MKX,TBC1D3B,DACH1,POTEM,HBG1,DEFB112,C3orf71,GNAI2,NDUFB9,HNF4G,MEOX2,EIF3D,PRSS48,TFEC,WDR12,TPTE2,FOLH1B,CLEC4E,UNC119B,KIAA1257,METTL7B,ARL16,HLA-DRA,NR1H4,TTN,OPN5,FAM19A1,RPAP1,CXCR2,CCK,CLEC14A,CERKL,SPANXN5,DPPA2,OR4N2,DAAM2,GZMA,SLC10A2,C4orf22,CSN3,MAP2K1,CLVS2,OR4N4,ABRA,MS4A2,CCDC28A,HSD11B1,OR52J3,LACRT,SSBP2,NMNAT3,PRR23B,ELMOD1,CYLC2,C1QTNF9,CADM2,TNP1,DCDC1,ACTC1,WDR65,ADAMTS2,SOX7,RBM46,PCDHB8,MNDA,MC2R,FGF16,CLCC1,C9,RAPGEF5,TCEB3C,CCDC54,QSOX2,SCGB1C1,TSPAN12,ELOVL4,CTNNB1,DSC3,PHGDH,IL5RA,RPGRIP1,GABRG1,SIGLEC14,KRT26,DEFB116,CPXCR1,XIRP2,THEMIS,LONRF2,PDHA2,DEFB110,UGT1A1,DGAT2L6,MYL2,RBM22,C2orf65,HRNR,ARID2,CCR2,DEFA4,AKAP11,GPR141,LRRC3B,ZNF454,SGCG,N4BP2,SDPR,NBPF7,NCR2,GPR20,CER1,APCS,EDN1,OR4M2,MYCL1,OR10G7,EIF1AX,SPINK13,TNFSF18,ZFX,C17orf67,GLRB,ACBD7,LRRC37A3,RGS18,DLGAP4,TACR3,GPR98,MUCL1,DYNLRB2,CDC20B,COPG2,COX7B2,FASLG,CCDC102B,SULT1E1,SPRR2D,MRPL54,SIRPB1,PRDM13,LIPE,TAS2R9,IGLL5,DSPP,SPRY3,PROS1,CNTN5,ZFP106,CLDN4,GCN1L1,LOC728819,RC3H2,TRHDE,UBE2J2,SLC14A1,ATF5,MUC7,PDCL2,APOB,ACMSD,FAM58A,ZNF711,RSPH6A,KEL,PDGFC,PRRG3,C16orf78,CD2,LRCH2,KRTAP17-1,SNCAIP,SETD1A,PENK,PHC2,CT62,WNT5A,KRTAP4-8,TREML4,DEFB121,IFT52,TAF7L,CPA3,C12orf43,SULT1B1,CRH,TLL1,KIAA1644,SIGLEC7,VPREB1,OR4F6,GPR65,C1orf51,CEACAM6,FAM65C,GRIN3A,DYDC1,KLHDC8A,COL5A2,CD86,NEU4,MAN1A1,GNG2,HS3ST4,MYH8,TAAR6,MCAM,KIR3DL2,ANXA10,CYP21A2,MT4,LECT2,SULT1C3,TANC2,FAM131B,FBXL6,C12orf76,UGT2B7,CLEC17A,PRKAA2,ZNF320,MYPOP,SLC30A10,NEUROD1,KRT78,CRHBP,CCNE1,DUSP22,CD300E,PRB3,COL4A4,OR5J2,CD96,KDM4B,ZNF716,GLIPR1L2,NKAIN3,PTPN22,DEFB115,ATP5F1,TRIM61,GPC5,HORMAD2,C19orf18,KRT77,TULP2,PEX5L,TMEM178,RNF217,C12orf59,REG3A,C12orf54,LOC649330,SPDYE4,LILRB4,TMPRSS11B,C12orf77,PCDP1,REG1B,FER1L6,HGF,CELSR2,EPPK1,STXBP5L,CCDC92,REG4,OR5H2,CABP5,C7orf34,ROPN1L,DSG3,TENC1,NECAB1,GAGE10,RGPD3,RBMS1,KHDC1,NOP10,FHL1,CRCT1,GAS2,GALNTL5,MOG,FAM155A,OR5H14,DMBX1,FAM53C,RP1,FRG1,RALGPS2,SELP,LIPH,STARD4,ALDH1A1,VPS13C,ATG2B,DHRS9,KCNJ9,AVPR1A,TMEM14B,LANCL1,HOXB6,GCG,C11orf24,FGF12,TNFRSF8,ADH1A,IGHMBP2,CLEC2B,OR10AG1,C18orf26,HTN1,CLCN3,MAP3K11,SERPINA10
NOTCH2NL,0.508159515,0.508683476,0.509108465,0.508717486,0.507894595,0.509171319,0.50807033,0.508078018,0.508262691,0.508803092,0.507997491,0.509239491,0.508232534,0.509031557,0.508014701,0.508036745,0.507983004,0.509289778,0.508386339,0.507776164,0.508488449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8A,0.507240503,0.507762962,0.507452723,0.507499576,0.507006246,0.508285338,0.507186284,0.507164932,0.507353876,0.508034721,0.507092044,0.508347537,0.507279253,0.508128556,0.507119268,0.507134422,0.507020002,0.508405937,0.507500145,0.506845099,0.507457249,0.507521527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AA,0.507960632,0.508498082,0.508148323,0.50822334,0.507697593,0.508995778,0.507877345,0.507878961,0.508066542,0.50861765,0.507798141,0.50906419,0.508038592,0.50885002,0.507825707,0.507838911,0.507789889,0.509115249,0.508198416,0.507529253,0.50817679,0.507258987,0.508285632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRK,0.507246958,0.507861362,0.507462063,0.507515183,0.507035218,0.508046933,0.50719539,0.507165871,0.507355535,0.50809365,0.507076496,0.508157902,0.50731844,0.508069457,0.507120035,0.507132029,0.507055449,0.50835927,0.507497399,0.506391083,0.507485456,0.506633214,0.507265919,0.507523097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRXCR1,0.507826029,0.508346613,0.50803075,0.508075437,0.50756847,0.50886333,0.507748521,0.50774629,0.507936655,0.508430824,0.507665979,0.508930478,0.507906321,0.508715634,0.507690168,0.50770981,0.507662539,0.508988702,0.508068102,0.507401266,0.508042633,0.507082365,0.507843901,0.506920752,0.508138025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX1T1,0.507805011,0.508372838,0.507977648,0.50805434,0.507549466,0.508841575,0.507728544,0.507725842,0.507930634,0.508499005,0.507645966,0.508908032,0.50793795,0.508692992,0.507365089,0.507684476,0.507654872,0.508961827,0.508047624,0.50738253,0.508007096,0.507118417,0.50782283,0.507117525,0.507691243,0.508118687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF1A,0.508818307,0.509379456,0.508975897,0.509216512,0.508548374,0.509752138,0.508709697,0.508737164,0.50890492,0.5096946,0.508655534,0.509819535,0.508881114,0.509630117,0.508790417,0.508756397,0.508622041,0.509862435,0.510838235,0.508388918,0.509019389,0.508113653,0.508833979,0.508086712,0.508700048,0.508678042,0.509197577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQCD1,0.507944275,0.508465066,0.508132331,0.508194424,0.50768187,0.508982463,0.507861469,0.507863085,0.508050078,0.508610519,0.507814445,0.509048711,0.50802138,0.50883435,0.507808127,0.507822891,0.50777406,0.509080285,0.50818207,0.507513562,0.508149236,0.507243954,0.507962037,0.507235504,0.507827883,0.507806877,0.508818391,0.508267886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRB1,0.508341753,0.508826862,0.508521775,0.508565131,0.50809873,0.509305814,0.508194504,0.508263128,0.508437175,0.508956005,0.508187931,0.509371561,0.508413008,0.50917341,0.508206032,0.508222295,0.507948407,0.509438562,0.50856998,0.507923389,0.508543868,0.507676079,0.508398555,0.507651528,0.508284738,0.508207462,0.509157116,0.508326873,0.508668396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAP1L2,0.507636355,0.508172696,0.507830651,0.507892575,0.507392695,0.508673732,0.507566366,0.507559313,0.507765347,0.508478979,0.507483117,0.508739072,0.507715953,0.508526725,0.507508331,0.507489251,0.507495028,0.508795373,0.507882996,0.507221842,0.507852199,0.506963259,0.507654295,0.506983316,0.507525275,0.507517378,0.50864526,0.507638043,0.508042853,0.507942161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUM1L1,0.508552422,0.509059188,0.508713053,0.508768167,0.508291515,0.509494299,0.508453311,0.50846602,0.508643183,0.509138996,0.508387936,0.509394958,0.508618236,0.509380691,0.508424338,0.508430729,0.50836823,0.509561846,0.508747256,0.508132287,0.508750538,0.507850637,0.508568449,0.507849874,0.50843602,0.50841466,0.509354295,0.508553038,0.508821843,0.508249037,0.508924501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USP17L2,0.507716909,0.508239565,0.507923815,0.508131222,0.507464757,0.508751976,0.507643508,0.507638727,0.507824892,0.508387224,0.507560519,0.508820581,0.507795939,0.508604413,0.507586829,0.507573883,0.507170011,0.508884868,0.50797809,0.507298371,0.507916921,0.507036948,0.507734919,0.507053511,0.507604422,0.507573922,0.508589903,0.507718374,0.508133175,0.507420684,0.508330743,0.508027133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIM2,0.507736038,0.508245055,0.507923178,0.507979136,0.507319061,0.508672861,0.507470711,0.507605346,0.507840766,0.508723949,0.507496518,0.508625971,0.508139387,0.508597449,0.507606303,0.507622714,0.507583325,0.508792184,0.507973541,0.507329951,0.507940995,0.507075683,0.507755136,0.507093219,0.507627208,0.507608529,0.508584045,0.507738331,0.508128745,0.507449205,0.508222508,0.507525068,0.508037742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH9,0.507855181,0.50838002,0.508014879,0.508265815,0.507605555,0.508869174,0.507778653,0.507726711,0.507959227,0.508616262,0.507694599,0.508940263,0.507885851,0.508736189,0.507725155,0.507739919,0.507712139,0.508988499,0.508091127,0.507006724,0.508065263,0.507138132,0.507872642,0.506952473,0.507743601,0.507724519,0.508709223,0.507856732,0.508171811,0.507563355,0.508392481,0.507741638,0.507664557,0.508165137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPP6C,0.507960175,0.508530824,0.508149223,0.508202216,0.508099738,0.508975702,0.507878743,0.507880994,0.508064564,0.508604277,0.507803308,0.509042359,0.508078289,0.509893579,0.507826672,0.507844676,0.507793889,0.509096151,0.508193411,0.507538091,0.508172428,0.507273413,0.507977769,0.507279478,0.50784611,0.507828639,0.508816605,0.507961812,0.508350143,0.507662213,0.508555842,0.507739345,0.507762659,0.507878934,0.508287504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFC,0.507823762,0.508341652,0.508024953,0.508234791,0.507454977,0.508855925,0.507713648,0.507745029,0.507930496,0.50876355,0.507665029,0.508926447,0.507844557,0.508708224,0.507691578,0.50778902,0.507661524,0.508975275,0.50806472,0.507401785,0.508038944,0.507244403,0.507841547,0.50715801,0.507710133,0.507690244,0.508801166,0.507825622,0.508237938,0.507525129,0.508432095,0.507603716,0.507626573,0.507694763,0.507844057,0.50814127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBM11,0.507808736,0.508329448,0.508036324,0.508055698,0.507551746,0.508846368,0.507731611,0.507729055,0.507916035,0.508465937,0.507649675,0.50891344,0.507886693,0.508697956,0.507675945,0.507690275,0.507645915,0.508997211,0.508071558,0.507384646,0.508025054,0.507119534,0.507826613,0.507132426,0.507694489,0.507674257,0.508682887,0.507810497,0.508225123,0.507507367,0.508418831,0.507601227,0.507610765,0.507727289,0.5078292,0.50769313,0.508125008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUT9,0.507958925,0.508517848,0.50814135,0.50824589,0.507697992,0.508989382,0.50784129,0.507873819,0.508063871,0.508598288,0.507797439,0.509056234,0.508035815,0.508843251,0.507966725,0.507819952,0.507812617,0.509105848,0.508201971,0.507530705,0.508173694,0.507257662,0.507989518,0.507271175,0.507843239,0.507816819,0.508942364,0.507939235,0.508378532,0.507654972,0.50856359,0.507746464,0.507753983,0.507890789,0.507975935,0.507841012,0.507825972,0.50828275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBD,0.508130412,0.508643595,0.508311152,0.508377794,0.507865269,0.509147813,0.508041768,0.508048613,0.508232288,0.508776251,0.507967273,0.509219903,0.508221714,0.509005105,0.508012636,0.508007573,0.507953923,0.509263828,0.508361387,0.507698612,0.508342738,0.507427581,0.508147779,0.507462804,0.508013137,0.50800954,0.508988496,0.508131517,0.508516389,0.507822877,0.508724226,0.507903606,0.507917282,0.5080414,0.508143513,0.508014513,0.507995851,0.508202837,0.508459655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMS,0.50781935,0.508342418,0.508012664,0.508069088,0.507561211,0.508858702,0.507741757,0.507739391,0.507926833,0.508477881,0.507661884,0.50892613,0.507897436,0.508710279,0.507686129,0.507700402,0.507655488,0.508978426,0.508062067,0.507393763,0.508036124,0.507127609,0.507837322,0.507117023,0.5077047,0.507684286,0.508695179,0.507821261,0.508222061,0.507520209,0.508431838,0.507597377,0.507620158,0.507736749,0.507842025,0.507703232,0.50768761,0.507795278,0.508006906,0.50813611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
